order_id,amount,customer,date
ORD0001,9699.21,Rohan Mehta,2026-08-01T23:17
ORD0002,11125.86,Meera Pillai,2026-08-22T23:57
ORD0003,6501.67,Meera Pillai,2026-08-01T02:13
ORD0004,689.11,Vikram Rao,2026-08-07T22:41
ORD0005,3539.7,Aditya Kumar,2026-08-19T08:51
ORD0006,12145.35,Sneha Iyer,2026-08-23T13:21
ORD0007,14370.99,Isha Kapoor,2026-08-11T03:05
ORD0008,12758.01,Ananya Joshi,2026-08-20T08:51
ORD0009,8182.09,Neha Gupta,2026-08-30T12:05
ORD0010,9540.63,Priya Nair,2026-08-29T11:36
ORD0011,972.66,Neha Gupta,2026-08-08T09:05
ORD0012,1783.82,Rohan Mehta,2026-08-09T14:40
ORD0013,5741.03,Dev Patel,2026-08-07T21:17
ORD0014,1348.69,Rohan Mehta,2026-08-21T05:34
ORD0015,7094.69,Dev Patel,2026-08-09T20:44
ORD0016,5066.28,Aditya Kumar,2026-08-25T01:14
ORD0017,4936.48,Sameer Khan,2026-08-09T02:13
ORD0018,10853.06,Ananya Joshi,2026-08-07T20:31
ORD0019,2399.36,Karan Verma,2026-08-05T07:47
ORD0020,11280.85,Rohan Mehta,2026-08-14T18:25
ORD0021,7789.55,Dev Patel,2026-08-03T01:55
ORD0022,2650.9,Vikram Rao,2026-08-22T13:38
ORD0023,9059.16,Dev Patel,2026-08-15T16:16
ORD0024,10894.33,Isha Kapoor,2026-08-22T17:48
ORD0025,1938.93,Sameer Khan,2026-08-14T05:29
ORD0026,10879.03,Neha Gupta,2026-08-17T05:32
ORD0027,9491.54,Rohan Mehta,2026-08-27T20:32
ORD0028,5795.91,Sameer Khan,2026-08-06T17:49
ORD0029,307.41,Sameer Khan,2026-08-11T15:01
ORD0030,14784.21,Sameer Khan,2026-08-26T09:15
ORD0031,8639.71,Aditya Kumar,2026-08-03T02:46
ORD0032,8130.31,Rohan Mehta,2026-08-05T04:42
ORD0033,4195.6,Aditya Kumar,2026-08-28T19:27
ORD0034,11029.72,Dev Patel,2026-08-07T22:19
ORD0035,5788.65,Sneha Iyer,2026-08-29T16:28
ORD0036,1240.24,Sneha Iyer,2026-08-01T18:35
ORD0037,404.71,Sameer Khan,2026-08-23T20:03
ORD0038,760.8,Dev Patel,2026-08-11T02:32
ORD0039,7435.08,Meera Pillai,2026-08-18T04:46
ORD0040,7247.74,Priya Nair,2026-08-26T15:51
ORD0041,1723.98,Neha Gupta,2026-08-14T11:27
ORD0042,11017.14,Vikram Rao,2026-08-22T20:41
ORD0043,11004.47,Arjun Singh,2026-08-26T03:15
ORD0044,6894.07,Neha Gupta,2026-08-14T05:17
ORD0045,13871.93,Arjun Singh,2026-08-15T17:06
ORD0046,12589.44,Ananya Joshi,2026-08-03T07:10
ORD0047,3441.3,Vikram Rao,2026-08-13T01:10
ORD0048,4197.75,Kavya Reddy,2026-08-26T14:18
ORD0049,14932.71,Sneha Iyer,2026-08-18T21:45
ORD0050,4660.9,Aarav Shah,2026-08-31T01:37
ORD0051,11294.99,Sameer Khan,2026-08-02T01:37
ORD0052,12834.84,Priya Nair,2026-08-06T01:32
ORD0053,9046.61,Sneha Iyer,2026-08-22T07:25
ORD0054,8809.69,Meera Pillai,2026-08-02T19:05
ORD0055,8608.4,Isha Kapoor,2026-08-11T08:13
ORD0056,3807.92,Ananya Joshi,2026-08-13T04:42
ORD0057,4947.12,Meera Pillai,2026-08-25T02:00
ORD0058,14942.61,Rohan Mehta,2026-08-03T17:13
ORD0059,14018.85,Karan Verma,2026-08-29T02:56
ORD0060,2618.04,Aditya Kumar,2026-08-27T17:45
